                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61483,                 14.441,                0.15659,                0.86922,                0.77391,                0.87606,                0.58778,                0.44639,                0.55385,                0.10306,             0.00047369,             0.00047369,             0.00047369
                      2,                 0.3849,                0.46497,                0.05168,                0.93775,                0.79681,                0.91844,                0.62561,                0.34216,                0.59451,                0.05106,             0.00094062,             0.00094062,             0.00094062
                      3,                0.39359,                0.52246,                 0.0556,                0.89572,                 0.8833,                0.92953,                0.64387,                0.33508,                0.46158,                0.05238,              0.0013981,              0.0013981,              0.0013981
                      4,                0.37066,                0.44782,                 0.0484,                 0.9214,                 0.8785,                0.94273,                0.62263,                0.35687,                0.47271,                0.05344,              0.0013866,              0.0013866,              0.0013866
                      5,                0.39412,                0.48726,                0.05327,                0.91469,                0.88352,                0.94506,                0.62838,                0.35375,                0.46611,                0.05558,              0.0013724,              0.0013724,              0.0013724
                      6,                0.35015,                0.44009,                0.04768,                0.89053,                0.86396,                0.93767,                 0.6301,                0.34017,                0.51219,                 0.0496,              0.0013583,              0.0013583,              0.0013583
                      7,                0.35868,                0.47488,                0.04923,                0.93261,                0.86589,                0.95183,                0.65117,                0.32414,                0.48182,                0.04783,              0.0013441,              0.0013441,              0.0013441
                      8,                0.38702,                0.50528,                0.05222,                0.90341,                0.86198,                0.92753,                0.63055,                0.35137,                0.55166,                0.05591,                0.00133,                0.00133,                0.00133
                      9,                0.37439,                0.49043,                0.04933,                0.89493,                0.87898,                0.91586,                0.65076,                0.31817,                0.50367,                0.04797,              0.0013158,              0.0013158,              0.0013158
                     10,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,              0.0013017,              0.0013017,              0.0013017
                     11,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,              0.0012875,              0.0012875,              0.0012875
                     12,                0.40191,                0.54181,                0.05526,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,              0.0012734,              0.0012734,              0.0012734
                     13,                0.37768,                0.48213,                0.05046,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,              0.0012592,              0.0012592,              0.0012592
                     14,                0.36277,                0.49791,                 0.0483,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,              0.0012451,              0.0012451,              0.0012451
                     15,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,              0.0012309,              0.0012309,              0.0012309
                     16,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,              0.0012168,              0.0012168,              0.0012168
                     17,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,              0.0012026,              0.0012026,              0.0012026
                     18,                0.36869,                0.52333,                0.05176,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,              0.0011885,              0.0011885,              0.0011885
                     19,                0.36074,                0.62129,                0.05009,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,              0.0011744,              0.0011744,              0.0011744
                     20,                0.36725,                0.71249,                0.05374,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,              0.0011602,              0.0011602,              0.0011602
                     21,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,              0.0011461,              0.0011461,              0.0011461
                     22,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,              0.0011319,              0.0011319,              0.0011319
                     23,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,              0.0011178,              0.0011178,              0.0011178
                     24,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,              0.0011036,              0.0011036,              0.0011036
                     25,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,              0.0010895,              0.0010895,              0.0010895
