                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0816,                 1.5674,                0.91308,                0.27429,                0.31011,                0.14104,                0.09415,                 2.2218,                    nan,                  2.536,             0.00047369,             0.00047369,             0.00047369
                      2,                 1.0487,                 0.6362,                0.90582,                0.89156,                0.88216,                0.93082,                0.58133,                  1.209,                0.70827,                0.93488,             0.00094062,             0.00094062,             0.00094062
                      3,                  1.042,                0.63713,                0.90959,                 0.5065,                0.08658,                0.12851,                0.07429,                 4.0888,                  407.4,                 2.3041,              0.0013981,              0.0013981,              0.0013981
                      4,                0.99818,                0.56294,                0.89613,                0.91156,                0.90634,                0.95762,                0.64756,                 1.0787,                0.54981,                 0.9012,              0.0013866,              0.0013866,              0.0013866
                      5,                0.98505,                0.53388,                0.89769,                0.90795,                0.87382,                0.94447,                 0.6226,                 1.1098,                 0.7233,                0.89391,              0.0013724,              0.0013724,              0.0013724
                      6,                0.95548,                0.52182,                0.89146,                0.92992,                0.91384,                0.96027,                0.62911,                 1.0355,                0.51152,                0.88461,              0.0013583,              0.0013583,              0.0013583
                      7,                0.92741,                0.48967,                0.88397,                0.93513,                0.91016,                0.97226,                0.64867,                 1.0456,                0.53324,                0.88255,              0.0013441,              0.0013441,              0.0013441
                      8,                0.93137,                0.48837,                0.88368,                0.92309,                0.94505,                0.97072,                0.66865,                 1.0099,                0.49613,                 0.8793,                0.00133,                0.00133,                0.00133
                      9,                0.90515,                0.47687,                0.87582,                0.94633,                0.91061,                 0.9669,                0.67419,                 0.9881,                0.50147,                0.87334,              0.0013158,              0.0013158,              0.0013158
                     10,                0.89923,                0.46216,                0.87664,                0.93595,                0.92208,                0.96757,                0.66408,                 1.0081,                0.50407,                0.88021,              0.0013017,              0.0013017,              0.0013017
                     11,                0.89413,                0.45995,                0.87707,                0.94468,                0.90774,                 0.9646,                 0.6434,                0.99016,                0.49582,                0.87242,              0.0012875,              0.0012875,              0.0012875
                     12,                 0.8812,                0.45501,                0.87269,                0.93288,                0.94122,                0.97287,                0.67258,                0.98076,                0.48343,                0.86792,              0.0012734,              0.0012734,              0.0012734
                     13,                0.87223,                0.43823,                0.86568,                0.94622,                 0.9292,                0.97387,                0.66614,                0.97823,                0.46762,                0.87005,              0.0012592,              0.0012592,              0.0012592
                     14,                0.86732,                0.43545,                0.87166,                0.93144,                0.93696,                0.97556,                0.67442,                0.99009,                0.46302,                0.87121,              0.0012451,              0.0012451,              0.0012451
                     15,                 0.8631,                0.43307,                 0.8678,                0.92332,                 0.9467,                0.97562,                0.68484,                0.95701,                0.45605,                0.86566,              0.0012309,              0.0012309,              0.0012309
                     16,                0.86739,                0.42668,                0.86993,                0.94163,                0.94197,                0.97522,                0.68368,                0.95667,                0.46936,                0.86854,              0.0012168,              0.0012168,              0.0012168
                     17,                0.84309,                0.42206,                0.86314,                0.93012,                0.93422,                0.97912,                0.70389,                 0.9571,                0.45517,                0.86762,              0.0012026,              0.0012026,              0.0012026
                     18,                0.84587,                0.41654,                0.86341,                0.94366,                0.95765,                0.98262,                0.71397,                0.94112,                0.43604,                0.85962,              0.0011885,              0.0011885,              0.0011885
                     19,                0.84405,                0.41798,                0.85608,                0.93722,                0.95649,                0.97964,                0.70419,                0.95329,                  0.449,                0.86353,              0.0011744,              0.0011744,              0.0011744
                     20,                0.83744,                0.41815,                0.86085,                0.95012,                0.93803,                 0.9805,                0.68854,                0.97945,                0.45698,                 0.8665,              0.0011602,              0.0011602,              0.0011602
                     21,                0.82819,                0.40739,                0.86164,                0.93413,                0.97079,                0.98448,                 0.7026,                0.95125,                0.43535,                0.86164,              0.0011461,              0.0011461,              0.0011461
                     22,                0.82543,                0.40416,                0.85977,                0.95406,                0.95015,                 0.9817,                0.69878,                0.96052,                0.43362,                0.86291,              0.0011319,              0.0011319,              0.0011319
                     23,                0.81449,                0.40305,                0.85571,                0.95492,                0.96143,                0.98715,                0.70548,                0.96041,                0.43674,                0.86345,              0.0011178,              0.0011178,              0.0011178
                     24,                0.82898,                0.40212,                0.86035,                 0.9382,                0.96086,                 0.9833,                0.71542,                0.94061,                0.42114,                0.85893,              0.0011036,              0.0011036,              0.0011036
