                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2585,                 2.5616,                0.93032,                0.90187,                0.83126,                0.90666,                0.58151,                  1.169,                 1.0934,                0.89426,             0.00047369,             0.00047369,             0.00047369
                      2,                 1.1035,                 1.2231,                0.90221,                0.90021,                0.86861,                 0.9301,                  0.592,                 1.1662,                0.73551,                0.90569,             0.00094062,             0.00094062,             0.00094062
                      3,                 1.0821,                0.87439,                0.90606,                0.91445,                0.87764,                0.93224,                0.62092,                 1.1302,                0.67522,                 0.8999,              0.0013981,              0.0013981,              0.0013981
                      4,                 1.0298,                0.69034,                0.89041,                0.93501,                0.89353,                0.94969,                0.62805,                 1.0969,                 0.6133,                0.89888,              0.0013866,              0.0013866,              0.0013866
                      5,                  1.017,                0.62821,                0.89329,                0.92432,                0.90872,                0.95681,                0.64501,                 1.0984,                0.58981,                0.88825,              0.0013724,              0.0013724,              0.0013724
                      6,                 0.9936,                0.59012,                0.88813,                 0.9293,                0.89227,                0.94459,                0.63906,                 1.0747,                0.57652,                0.88281,              0.0013583,              0.0013583,              0.0013583
                      7,                0.96562,                 0.5568,                0.87953,                0.94138,                0.91358,                0.96345,                0.66028,                 1.0654,                0.60305,                0.88543,              0.0013441,              0.0013441,              0.0013441
                      8,                0.96718,                0.56167,                0.88034,                0.94301,                0.90547,                0.96618,                0.65887,                 1.0477,                0.54581,                0.87539,                0.00133,                0.00133,                0.00133
                      9,                0.94818,                0.53859,                0.87472,                 0.9372,                 0.9301,                0.96803,                0.67032,                 1.0171,                0.54169,                 0.8732,              0.0013158,              0.0013158,              0.0013158
                     10,                 0.9413,                0.52104,                0.87733,                0.93467,                0.92728,                0.96752,                0.66579,                  1.023,                0.53102,                0.87528,              0.0013017,              0.0013017,              0.0013017
                     11,                0.92293,                0.50997,                0.86923,                0.95193,                0.92114,                0.96661,                0.66384,                 1.0534,                 0.5364,                0.87605,              0.0012875,              0.0012875,              0.0012875
                     12,                0.91992,                 0.5084,                0.87089,                0.93694,                0.93081,                0.97054,                0.68001,                 1.0037,                0.52261,                0.86757,              0.0012734,              0.0012734,              0.0012734
                     13,                0.91129,                0.49568,                0.86516,                0.92816,                0.93935,                0.96836,                0.67739,                0.99809,                0.50777,                0.86388,              0.0012592,              0.0012592,              0.0012592
                     14,                0.89389,                0.48258,                0.86621,                 0.9504,                0.92455,                0.97382,                0.67272,                   1.01,                0.49864,                 0.8665,              0.0012451,              0.0012451,              0.0012451
                     15,                0.90668,                0.48664,                0.86768,                0.93647,                0.93903,                0.96983,                0.68276,                0.99187,                  0.504,                0.86451,              0.0012309,              0.0012309,              0.0012309
                     16,                0.90498,                0.47956,                  0.868,                0.94392,                0.90924,                0.96788,                0.68098,                 1.0137,                0.50986,                0.86982,              0.0012168,              0.0012168,              0.0012168
