                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1224,                 1.4781,                0.92387,                0.89935,                0.88809,                0.93886,                0.60022,                 1.1039,                0.65748,                0.89071,             0.00047369,             0.00047369,             0.00047369
                      2,                 1.0519,                0.62939,                0.90075,                0.93589,                0.90901,                0.95811,                0.61728,                 1.1525,                0.60067,                0.91452,             0.00094062,             0.00094062,             0.00094062
                      3,                 1.0361,                 0.6107,                 0.9026,                0.93649,                0.88589,                0.95453,                0.62569,                 1.1129,                0.61309,                0.90243,              0.0013981,              0.0013981,              0.0013981
                      4,                 1.0055,                0.57124,                0.89296,                0.93001,                0.89495,                 0.9526,                0.63059,                 1.1051,                0.58481,                0.90226,              0.0013866,              0.0013866,              0.0013866
                      5,                0.99115,                0.55303,                0.88976,                0.92809,                 0.9206,                0.96395,                0.64186,                 1.0972,                0.61157,                0.89084,              0.0013724,              0.0013724,              0.0013724
                      6,                 0.9764,                0.53365,                0.88784,                0.95167,                0.90106,                 0.9625,                0.66905,                 1.0444,                0.55196,                0.87636,              0.0013583,              0.0013583,              0.0013583
                      7,                0.94668,                0.50997,                0.87854,                0.92219,                0.93859,                0.97196,                 0.6451,                 1.0853,                0.56865,                0.88341,              0.0013441,              0.0013441,              0.0013441
                      8,                0.94778,                0.51619,                0.87827,                0.93965,                0.89618,                0.96463,                0.66697,                 1.0254,                0.55267,                0.87319,                0.00133,                0.00133,                0.00133
                      9,                0.92554,                0.50342,                0.87053,                0.93027,                 0.9249,                0.97228,                 0.6749,                 1.0324,                0.55471,                0.87362,              0.0013158,              0.0013158,              0.0013158
                     10,                0.91695,                0.48961,                0.87259,                0.93528,                0.93134,                0.96856,                0.67658,                0.99363,                0.50917,                0.86716,              0.0013017,              0.0013017,              0.0013017
                     11,                0.90692,                0.47812,                0.86918,                 0.9386,                0.94161,                0.97354,                0.66231,                 1.0114,                0.51004,                0.87024,              0.0012875,              0.0012875,              0.0012875
                     12,                0.90242,                0.47758,                0.86765,                0.94065,                0.94402,                0.97257,                0.67957,                 1.0179,                0.49511,                0.86859,              0.0012734,              0.0012734,              0.0012734
                     13,                0.89183,                0.47148,                0.86053,                0.94101,                0.93686,                 0.9725,                 0.6961,                  0.981,                0.48662,                0.86292,              0.0012592,              0.0012592,              0.0012592
                     14,                0.87113,                 0.4537,                0.86244,                0.94226,                0.93591,                 0.9782,                0.68449,                0.98363,                0.49945,                0.85985,              0.0012451,              0.0012451,              0.0012451
                     15,                0.87979,                0.45634,                 0.8634,                0.93732,                0.94743,                0.97411,                0.68239,                 0.9895,                0.49207,                0.86385,              0.0012309,              0.0012309,              0.0012309
                     16,                0.88606,                0.45503,                 0.8634,                0.96149,                0.94021,                0.97978,                0.69603,                0.99442,                0.47899,                0.86388,              0.0012168,              0.0012168,              0.0012168
                     17,                0.86693,                0.45193,                0.85822,                  0.926,                0.94917,                0.97452,                0.69301,                0.98528,                0.47299,                0.86442,              0.0012026,              0.0012026,              0.0012026
                     18,                0.86646,                0.44847,                0.85868,                0.93395,                 0.9464,                0.97752,                0.69486,                0.98619,                0.48534,                0.85902,              0.0011885,              0.0011885,              0.0011885
                     19,                 0.8617,                0.44614,                0.85118,                0.94051,                0.94886,                0.97845,                0.70146,                 0.9844,                0.47174,                0.86232,              0.0011744,              0.0011744,              0.0011744
                     20,                0.85954,                0.43669,                0.85689,                0.95357,                0.93636,                0.97789,                0.69334,                0.98682,                0.48469,                0.86154,              0.0011602,              0.0011602,              0.0011602
                     21,                0.84168,                0.42955,                0.85388,                0.96449,                0.95043,                0.98666,                0.70228,                0.98261,                0.45429,                0.85875,              0.0011461,              0.0011461,              0.0011461
                     22,                0.84069,                0.42523,                0.85431,                 0.9378,                0.95336,                0.97993,                0.69943,                0.99816,                0.47392,                0.86134,              0.0011319,              0.0011319,              0.0011319
                     23,                0.82944,                0.42429,                0.85033,                 0.9486,                0.94787,                0.98435,                0.69325,                0.97993,                0.45735,                0.85927,              0.0011178,              0.0011178,              0.0011178
                     24,                0.85206,                0.43579,                0.85626,                0.94729,                0.95645,                0.97701,                0.71169,                0.94327,                0.45869,                0.85241,              0.0011036,              0.0011036,              0.0011036
